surname,weight
대구 빈(賓),2524
진주 박(朴),2496
장연 변(邊),2490
단성 이(李),2478
영해 이(李),2466
연일 김(金),2463
선영 남(南),2452
치성 송(宋),2444
무주 김(金),2422
관산 위(魏),2419
강진 최(崔),2398
가평 간(簡),2397
대구 김(金),2397
부녕 김(金),2397
광동 진(陳),2397
차성 이(李),2391
정주 김(金),2376
웅천 주(朱),2359
홍주 진(陳),2310
정주 정(鄭),2301
랑주 최(崔),2295
충주 어(魚),2288
남양 김(金),2283
안동 고(高),2279
회산 감(甘),2277
강능 함(咸),2269
목천 상(尙),2259
풍천 김(金),2246
진산 강(姜),2213
려흥 민(閔),2199
달성 하(夏),2194
영덕 김(金),2193
야성 김(金),2191
함양 조(趙),2189
진주 임(林),2177
설성 김(金),2162
신창 노(盧),2152
신평 호(扈),2150
단양 전(田),2142
부여 백(白),2120
서산 송(宋),2119
밀양 양(楊),2111
진주 최(崔),2093
밀양 임(林),2092
창원 현(玄),2053
절강 시(施),2011
남원 진(秦),2011
연백 정(鄭),2000
진천 김(金),1999
전주 박(朴),1985
진주 진(秦),1984
안의 임(林),1973
익산 이(李),1970
공산 정(鄭),1965
곡성 임(任),1955
전주 추(秋),1953
강릉 진(陳),1937
장흥 이(李),1935
안음 서문(西門),1934
야성 정(鄭),1934
예산 장(張),1920
김해 이(李),1915
강화 김(金),1861
하음 전(田),1854
구례 손(孫),1839
온양 이(李),1839
금강 온(溫),1838
곡강 최(崔),1836
남원 홍(洪),1833
서천 이(李),1824
평해 오(吳),1816
성주 김(金),1787
승평 박(朴),1780
재영 이(李),1771
봉성 금(琴),1770
죽산 음(陰),1766
화순 김(金),1762
죽산 최(崔),1762
금릉 김(金),1755
완산 전(全),1753
광평 이(李),1752
남양 서(徐),1725
고흥 이(李),1725
하음 이(李),1718
석강 편(片),1712
분성 허(許),1710
보성 임(林),1677
영덕 정(鄭),1674
해주 노(盧),1670
봉성 장(張),1670
수원 차(車),1670
달성 빈(賓),1660
연일 승(承),1647
절강 팽(彭),1645
태원 안(安),1637
정주 이(李),1637
여주 진(陳),1626
단양 피(皮),1624
안정 라(羅),1622
해남 김(金),1619
서영 유(柳),1612
단양 지(池),1601
청주 양(梁),1599
영성 엄(嚴),1588
선녕 남(南),1583
금구 온(溫),1581
한양 박(朴),1580
예천 윤(尹),1579
군위 사공(司空),1574
임천 임(林),1574
밀양 이(李),1562
광주 최(崔),1561
파평 김(金),1560
곤산 배(裵),1556
진도 김(金),1539
월성 석(昔),1536
여양 천(千),1536
롱서 이(李),1534
해주 이(李),1531
고성 정(鄭),1530
진양 형(邢),1527
하성 조(曺),1525
진양 소(蘇),1521
김령 김(金),1494
운봉 박(朴),1493
백천 김(金),1490
온양 맹(孟),1483
성산 도(都),1479
청도 백(白),1479
홍천 이(李),1477
영흥 민(閔),1475
진위 김(金),1474
서림 이(李),1474
옥천 이(李),1474
릉성 구(具),1460
안성 김(金),1448
인동 유(兪),1448
남양 양(梁),1447
평산 김(金),1433
밀성 양(楊),1425
서녕 유(柳),1417
청송 최(崔),1411
금계 한(韓),1405
서령 류(柳),1398
밀양 배(裵),1390
옥야 임(林),1385
곡강 배(裵),1377
제주 한(韓),1375
순천 현(玄),1358
진주 강(康),1354
시산 경(景),1347
익산 임(林),1342
군위 박(朴),1333
평산 박(朴),1319
나주 주(朱),1308
풍천 임(林),1304
양지 추(秋),1298
황주 최(崔),1291
연일 현(玄),1290
원주 최(崔),1289
정주 최(崔),1284
의령 전(田),1269
교하 김(金),1268
전주 정(鄭),1268
전주 최(催),1268
남원 조(趙),1266
안악 김(金),1262
도광 김(金),1260
순창 박(朴),1257
섬천 이(李),1238
하산 장(張),1238
화산 이(李),1237
태인 백(白),1228
태인 경(景),1223
의영 남(南),1206
광주 동(董),1206
장천 이(李),1206
여양 진(陣),1203
선산 이(李),1198
옥성 장(張),1197
관산 마(馬),1193
철성 박(朴),1190
고령 이(李),1186
창원 조(曺),1185
관성 육(陸),1183
삼섭 김(金),1182
서산 이(李),1179
포산 곽(郭),1166
옥천 설(薛),1162
태원 최(崔),1153
김해 송(宋),1149
나주 장(張),1142
함영 김(金),1135
청주 손(孫),1134
곡산 노(盧),1133
남원 문(文),1128
영암 최(崔),1127
정일 정(鄭),1125
밀양 조(趙),1124
금산 한(韓),1122
당성 홍(洪),1122
학성 박(朴),1105
진천 장(張),1099
진산 진(陳),1096
완산 김(金),1090
나주 전(田),1080
감천 문(文),1076
예양 진(陳),1075
