data,_freq
1114017300|서울특별시 중구 만리재로33길 21|LIG 서울역 리가,1
1114017300|서울특별시 중구 만리재로 193|대우디오빌,1
1114017400|서울특별시 중구 만리재로 177|서울역한라비발디센트럴,1
1117010100|서울특별시 용산구 후암로22길 7|예빌리지,1
1117010100|서울특별시 용산구 후암로28마길 2|신주에지앙,1
1117010100|서울특별시 용산구 후암로 65|브라운스톤남산,1
1117010100|서울특별시 용산구 후암로16나길 23|힐튼빌리지2차,1
1117010100|서울특별시 용산구 후암로28길 29|프리마베라빌,1
1117010100|서울특별시 용산구 후암로16길 27|화인,1
1117010100|서울특별시 용산구 한강대로102다길 26|삼안리치8차,1
1117010100|서울특별시 용산구 후암로16가길 4|행남그랜드,1
1117010100|서울특별시 용산구 한강대로104라길 21|삼안리치10차,1
1117010100|서울특별시 용산구 후암로22길 10|후암,1
1117010100|서울특별시 용산구 후암로16나길 25|혜당,1
1117010100|서울특별시 용산구 후암로22길 29|힐튼빌리지1차,1
1117010100|서울특별시 용산구 후암로34길 31-17|남산애지앙,1
1117010100|서울특별시 용산구 후암로16나길 20|명남아띠팰리스,1
1117010100|서울특별시 용산구 후암로44길 8|후암맨션,1
1117010100|서울특별시 용산구 후암로 71|뉴후암,1
1117010100|서울특별시 용산구 후암로 71-1|후암미주,1
1117010100|서울특별시 용산구 후암로28길 10|신후암,1
1117010200|서울특별시 용산구 신흥로2길 58|용암한신,1
1117010400|서울특별시 용산구 한강대로102나길 23|두리파크빌,1
1117010400|서울특별시 용산구 한강대로77길 15|대아빌딩,1
1117010700|서울특별시 용산구 한강대로 372|센트레빌아스테리움서울,1
1117010700|서울특별시 용산구 한강대로104마길 30|동자,1
1117011100|서울특별시 용산구 효창원로72길 35|효창PALACEVILLE,1
1117011100|서울특별시 용산구 효창원로72길 29|베르체,1
1117011100|서울특별시 용산구 효창원로76길 7|한울글로리A,1
1117011100|서울특별시 용산구 효창원로76길 9|한울글로리B,1
1117011200|서울특별시 용산구 백범로79다길 27|로얄카운티-2,1
1117011200|서울특별시 용산구 백범로79다길 35|로얄카운티-3,1
1117011200|서울특별시 용산구 백범로 341|리첸시아용산,1
1117011200|서울특별시 용산구 원효로90길 11|용산 더프라임,1
1117011200|서울특별시 용산구 원효로 251|용산파크뷰(46-3),1
1117011300|서울특별시 용산구 원효로 166|원효,1
1117011400|서울특별시 용산구 효창원로15길 16|세방리버하이빌,1
1117011500|서울특별시 용산구 효창원로 17|리버힐삼성,1
1117011600|서울특별시 용산구 삼개로 56|SK청암대(64-29),1
1117011600|서울특별시 용산구 삼개로 58|SK청암대(64-1),1
1117011600|서울특별시 용산구 삼개로 60|GS자이,1
1117011700|서울특별시 용산구 원효로 129|금성,1
1117011800|서울특별시 용산구 효창원로8길 16|한강수,1
1117011800|서울특별시 용산구 원효로25길 14|풍전,1
1117011800|서울특별시 용산구 원효로 40|강변삼성스위트,1
1117011900|서울특별시 용산구 효창원로70길 34|로얄카운티,1
1117011900|서울특별시 용산구 효창원로72길 42|세인트힐,1
1117011900|서울특별시 용산구 임정로 9|울트라멤버스,1
1117011900|서울특별시 용산구 백범로45길 21-26|대성효창,1
1117011900|서울특별시 용산구 백범로 260|효창파크푸르지오,1
1117011900|서울특별시 용산구 효창원로93길 14|효삼골드빌,1
1117011900|서울특별시 용산구 효창원로70길 49|태원팰리스,1
1117011900|서울특별시 용산구 효창원로69길 31|효창아트빌2차,1
1117011900|서울특별시 용산구 효창원로69길 57|효창베네스,1
1117011900|서울특별시 용산구 효창원로70길 18|효창드림빌,1
1117011900|서울특별시 용산구 효창원로93길 16|효창로즈,1
1117011900|서울특별시 용산구 효창원로70길 26|화이트타운,1
1117011900|서울특별시 용산구 효창원로66길 33|임선웰빙,1
1117011900|서울특별시 용산구 효창원로70길 10|효창팰리스2차,1
1117011900|서울특별시 용산구 백범로51길 23|아이딜,1
1117011900|서울특별시 용산구 효창원로 157|효창맨션,1
1117011900|서울특별시 용산구 백범로45길 9-11|효창한신,1
1117011900|서울특별시 용산구 백범로 275|효창파크KCC스위첸,1
1117012000|서울특별시 용산구 새창로12길 11-7|제일1,1
1117012000|서울특별시 용산구 새창로12길 11-15|도원,1
1117012100|서울특별시 용산구 효창원로37마길 12|대호드림빌(38-213),1
1117012100|서울특별시 용산구 효창원로25나길 21|대성2차,1
1117012200|서울특별시 용산구 청파로 213|이안용산프리미어,1
1117012200|서울특별시 용산구 백범로 346|지오베르크,1
1117012200|서울특별시 용산구 백범로 341|리첸시아용산B,1
1117012200|서울특별시 용산구 백범로90다길 12|CJ나인파크,1
1117012200|서울특별시 용산구 백범로90길 26|아크로타워,1
1117012200|서울특별시 용산구 백범로90길 74|이안용산1차(103동),1
1117012200|서울특별시 용산구 백범로90길 74|이안용산1차(102동),1
1117012200|서울특별시 용산구 백범로90길 74|이안용산1차(101동),1
